fileName;synonyms;closestWords;relatedWords;categories
cheese_on_toast_,_melted.svg;juustoleipä;;;ruoka & annokset
cheese_slices.svg;viipalejuusto;;;maitotuotteet & ruoka
cheese_stilton.svg;homejuusto;;;maitotuotteet & ruoka
cheetah.svg;gebardi;;;nisäkkäät & eläimet
cheque_book.svg;sekkivihko;blankoshekki&asiakirja-aineisto;avoin shekki&blankoshekki&asiakirja-aineisto;talous & raha
cherry.svg;kirsikka&Prunus lyonii;syötävä hedelmä&luumu&kiiltotuomi&sydämenmuotoinen kirsikka&prunus salicifolia&hapankirsikka&cerasus&prunus incisa&prunus lyonii&prunus serrulata&prunus sieboldii&prunus subhirtella&luumarja;syötävä hedelmä&luumu&imeläkirsikka&kiiltotuomi&sydänkirsikka&sydämenmuotoinen kirsikka&Prunus salicifolia&hapankirsikka&kirsikkapuu&cerasus&fuji&fuji-kirsikka&Prunus incisa&Prunus serrulata&Prunus sieboldii&Prunus subhirtella&luumarja;ruoka & hedelmät & kasvikset
chest_female.svg;rintakehä&thorax&tooraksi&rinta;ruumiinosa&ulkoinen ruumiinosa&povi&miehen rintakehä&runkorakenne&sydän&kylkiluut&rinnat&rinnukset;ruumiinosa&ulkoinen ruumiinosa&naisen rinta&povi&miehen rintakehä&runkorakenne;terveys & kehonosat & raajat & elimet
chest_male.svg;rintakehä&thorax&tooraksi&rinta;ruumiinosa&ulkoinen ruumiinosa&povi&miehen rintakehä&runkorakenne&sydän&kylkiluut&rinnat&rinnukset;ruumiinosa&ulkoinen ruumiinosa&naisen rinta&povi&miehen rintakehä&runkorakenne;terveys & kehonosat & raajat & elimet
chest_of_drawers.svg;lipasto&piironki&kirjoituspöytä&kirjoituslipasto&työpöytä&klahvipiironki;huonekalu&korkea piironki&senkki&laatikosto;huonekalut&huonekalu&korkea lipasto&korkea piironki;huonekalut & rakennukset & sisustus
chestnuts.svg;kastanja&kastanjapuu;syötävä pähkinä&castanea-suku&castanea dentata&castanea sativa&castanea mollissima&castanea crenata&allegheny chinkapin -kastanja&castanea ozarkensis&castanopsis-suku&puu;syötävä pähkinä&kastanjat&Castanea-suku&amerikankastanja&Castanea dentata&aito kastanja&jalokastanja&Castanea sativa&Castanea mollissima&Castanea crenata&itäinen chinquapin-kastanja&chinquapin-kastanja&kääpiökastanja&Castanea pumila&Allegheny chinkapin -kastanja&Castanea ozarkensis&Castanopsis&Castanopsis-suku&puu;pähkinät & pähkinä & ruoka
chewing_gum.svg;purukumi&purkka;namu&pallopurkka&paukkupurukumi&chiclekumi&chewing-gum;jälkiruoka&makeinen&konvehti&leivonnainen&karkki&karamelli&namu&pallopurkka&paukkupurukumi&chiclekumi;ruoka & jälkiruoka & jälkiruoat & jälkiruuat & herkku & herkut & makea & leivonnaiset & leivonta
chewy_tube.svg;purulelu&tutti&huvitutti&hupitutti;laite&esine;laite&esine;ruoka & ruokailu & syöminen & ateria
chick.svg;tipu&pikkulintu&kananpoika&untuvikko&linnunpoika&nuorikko&neitonen&typykkä&likka&kimma&kiltsi&pimu&tytsy&kissa&tipu-puu&keltainen jakaranda&Bolivian ylpeys;lintu&linnunpoikanen&arkikielen ilmaus&tipuana-laji&bolivian ylpeys&puu&poikanen&tyttö&lapsi&liskolintu&aitokana&kure&sorsalintu;lintu&linnunpoikanen&kana&Gallus gallus&puhekielen ilmaus&arkikielen ilmaus&tyttö&neiti&nuori nainen&Tipuana&Tipuana-laji&puu;eläimet & linnut
chicken.svg;kana&Gallus gallus&kananpoika&kananen&broilerinliha&siipikarjanliha&broileri;kanalintu&nuorikko&kukko&syöttökukko&kaakattaja&hautomahaluinen kana&emokana&munituskana&nuori kana&rhode island red&dominick&orpington&lintu&kanannahka&paistettu kana&poulet&pollo&kananliha&pollito;siipikarja&kanalintu&tipu&untuvikko&linnunpoika&nuorikko&kukko&kapuuni&salvukukko&syöttökukko&kaakattaja&hautova kana&hautomahaluinen kana&emokana&munija&munituskana&nuori kana&Rhode Island red&Dominique&Dominick&Orpington&linnunliha&lintu&alle vuoden ikäinen kana&kanannahka&paistettu kana;ruoka & siipikarja & linnut
chicken_breast.svg;kanan rintapala;;;ruoka & siipikarja & linnut
chicken_deep_fried.svg;friteerattu kana;;;ruoka & siipikarja & linnut
chicken_house.svg;kanala;maatilarakennus&eläinsuoja;maatilarakennus;eläimet & elinympäristö & ympäristö & metsä
chicken_leg.svg;kanankoipi;satsi&kalkkunankoipi;annos&ruoka-annos&satsi&kalkkunankoipi;ruoka & siipikarja & linnut
chicken_live.svg;kana&Gallus gallus&kananpoika&kananen&broilerinliha&siipikarjanliha&broileri;kanalintu&nuorikko&kukko&syöttökukko&kaakattaja&hautomahaluinen kana&emokana&munituskana&nuori kana&rhode island red&dominick&orpington&lintu&kanannahka&paistettu kana&poulet&pollo&kananliha&pollito;siipikarja&kanalintu&tipu&untuvikko&linnunpoika&nuorikko&kukko&kapuuni&salvukukko&syöttökukko&kaakattaja&hautova kana&hautomahaluinen kana&emokana&munija&munituskana&nuori kana&Rhode Island red&Dominique&Dominick&Orpington&linnunliha&lintu&alle vuoden ikäinen kana&kanannahka&paistettu kana;eläimet & linnut
chicken_nuggets.svg;kananugetit;;;ruoka & siipikarja & linnut
chicken_pieces.svg;kananliha&piloerektio&horripilaatio;psykologinen reaktio&kananpoika young&kana the species and/or female&kana&pelkuri;refleksi&heijaste&vaistomainen reaktio&synnynnäinen refleksi&tahdoton reaktio&psykologinen reaktio;ruoka & siipikarja & linnut
chicken_run.svg;kananjuoksu;;;eläimet & elinympäristö & ympäristö & metsä
childrens_tv.svg;lasten kanava;;;tekniikka & tv
chilli_pepper.svg;chili&chilipippuri&chilipaprika&cayenne&chili con carne&chilipata;annos&jalapenopippuri&cayennenpippuri&chilijauhe&chile;ruokalaji&annos&jalapeno&jalapenopippuri&cayennepippuri&cayennenpippuri&chiliseos&chilijauhe;ruoka & vihannekset & salaatit & kasvikset
chimney.svg;savupiippu&savutorvi;savukanava&savuhormi&takka;hormi&savukanava&höyryveturin savupiippu&laivan savupiippu&savuhormi;Rakennukset rakenne
chimpanzee.svg;simpanssi&Pan troglodytes&Pan troglodytes schweinfurthii;pongidae-heimon apina&pan-suku&pan troglodytes&pan troglodytes verus&pan troglodytes schweinfurthii&pan troglodytes troglodytes&pan paniscus&chimpancé;suuri ihmisapina&Pongidae-heimon apina&simpanssit&Pan-suku&Länsi-Afrikan simpanssi&Pan troglodytes verus&Pan troglodytes troglodytes&kääpiösimpanssi&bonobo&Pan paniscus;nisäkkäät & eläimet
chin.svg;leuka&alaleuka&alaleukaluu&submaxilla&leukaluu&leukapieli&leuan luu&mentum;puhelaite&leukaperä&kaksoisleuka&piirre&leukaraaja;puhelaite&leuat&leukaperä&kaksoisleuka&kasvonpiirre&piirre;terveys & kehonosat & raajat & elimet
chinese_cabbage.svg;kiinankaali&salaattikiinankaali&pinaattikiinankaali&pe-tsai&Brassica rapa pekinensis;kaali&ristikukkaiskasvi&brassica-suku&brassica rapa pekinensis;kaali&ristikukkainen&ristikukkaiskasvi&kaalit&Brassica-suku;ruoka & vihannekset & salaatit & kasvikset
chinese_food.svg;kiinalainen ruoka;;;ruoka & annokset
chip_and_pin_device.svg;maksupääte;;;talous & raha
chipmunk.svg;maaorava&siiseli&spermofiili&Citellus lateralis&Tamias striatus;orava&spermophilus-suku&citellus leucurus&citellus lateralis&citellus citellus&citellus richardsonii&citellus variegatus&citellus parryi&suku tamias&tamias striatus&eutamias-suku;orava&Citellus&Citellus-suku&Spermophilus&Spermophilus-suku&valkohäntäorava&valkohäntäpreerikko&Citellus leucurus&Citellus citellus&Richardsonin maaorava&Citellus richardsonii&Citellus variegatus&napasiiseli&parrynsiiseli&Citellus parryi&maaoravat&suku Tamias&Eutamias-suku;nisäkkäät & eläimet
chipmunk_2.svg;maaorava&siiseli&spermofiili&Citellus lateralis&Tamias striatus;orava&spermophilus-suku&citellus leucurus&citellus lateralis&citellus citellus&citellus richardsonii&citellus variegatus&citellus parryi&suku tamias&tamias striatus&eutamias-suku;orava&Citellus&Citellus-suku&Spermophilus&Spermophilus-suku&valkohäntäorava&valkohäntäpreerikko&Citellus leucurus&Citellus citellus&Richardsonin maaorava&Citellus richardsonii&Citellus variegatus&napasiiseli&parrynsiiseli&Citellus parryi&maaoravat&suku Tamias&Eutamias-suku;nisäkkäät & eläimet
chipmunk_3.svg;maaorava&siiseli&spermofiili&Citellus lateralis&Tamias striatus;orava&spermophilus-suku&citellus leucurus&citellus lateralis&citellus citellus&citellus richardsonii&citellus variegatus&citellus parryi&suku tamias&tamias striatus&eutamias-suku;orava&Citellus&Citellus-suku&Spermophilus&Spermophilus-suku&valkohäntäorava&valkohäntäpreerikko&Citellus leucurus&Citellus citellus&Richardsonin maaorava&Citellus richardsonii&Citellus variegatus&napasiiseli&parrynsiiseli&Citellus parryi&maaoravat&suku Tamias&Eutamias-suku;nisäkkäät & eläimet
chips.svg;ranskalaiset perunat;;;ruoka & vihannekset & salaatit & kasvikset
chips_packet.svg;ranskalaiset perunat;;;ruoka & vihannekset & salaatit & kasvikset
chisel.svg;taltta;kaiverrin&kylmätaltta&kivitaltta&teräase&ohutteräinen taltta&puutaltta;kaiverrin&kylmätaltta&kivitaltta&teräase&koverrin&ohutteräinen taltta&puutaltta;työkalut & työpaja & käsityö & käsityöt
chocolate.svg;suklaa;ruoka&leivontasuklaa&suklaamakeinen&suklaalikööri&kaakaovoi&kaakaojauhe&tumma suklaa&kuorrutesuklaa&maitosuklaa&valkoinen suklaa&kaakaopapu&karkki&praliini&suklaanruskea&makeinen;ravinto&kiinteä ruoka&ruoka&tumma suklaa&leivontasuklaa&suklaamakeinen&suklaalikööri&kaakaovoi&kaakaojauhe&makeahko suklaa&kuorrutesuklaa&maitosuklaa&valkoinen suklaa&kaakaopapu;ruoka & jälkiruoka & jälkiruoat & jälkiruuat & herkku & herkut & makea & leivonnaiset & leivonta
chocolate_bar.svg;suklaalevy;;;ruoka & jälkiruoka & jälkiruoat & jälkiruuat & herkku & herkut & makea & leivonnaiset & leivonta
chocolate_box.svg;konvehtit;;;ruoka & jälkiruoka & jälkiruoat & jälkiruuat & herkku & herkut & makea & leivonnaiset & leivonta
chocolate_chips.svg;suklaamuru;;;ruoka & jälkiruoka & jälkiruoat & jälkiruuat & herkku & herkut & makea & leivonnaiset & leivonta
chocolate_egg.svg;suklaamuna;pääsiäismuna;pääsiäismuna;ruoka & jälkiruoka & jälkiruoat & jälkiruuat & herkku & herkut & makea & leivonnaiset & leivonta
chocolate_log.svg;kääretorttu;vanukas&sienikakku;vanukas&sienikakku;leivonta & leipominen & viljatuotteet & vilja & ruoka
chop_,_to.svg;pilkkoa&halkoa&silpoa&raivata&hakata;hakata kirveellä&törmätä&lyödä&katkaista&lohkaista&silputa&jakaa&leikellä&lohkoa&osittaa&paloitella&paloittaa&pienentää&pieniä&hienontaa&hakkelus&kyljys&hash browns&costata;hakata kirveellä&repiä&rikkoa&törmätä&lyödä&katkaista&lohkoa&halkaista&lohkaista&hienontaa&silputa;ruoka & ruoanlaitto & ruuanlaitto
chopping_board.svg;leikkuulauta&leipälauta;lohkare&levy&puu;järkäle&lohkare&levy&laatta&puu;ruoka & ruokailu & ruokailuvälineet
Christian.svg;kristitty&harhauskoinen&ei-juutalainen;kristillinen&kristusmainen&kristillinen kirkko&uskonnollinen henkilö&adventisti&protestantti&kveekari&katolilainen&vanhakatolinen&koptilainen&opetuslapsi&apostolinen isä&arianisti&uudestisyntynyt kristitty&ehtoollisvieras&melkiitti&nasaretilainen&shaker&shegetz&traktarianisti&timoteus&titus&kristillisdemokraatti;kristillinen&Kristuksen kaltainen&kristusmainen&kirkko&kristillinen kirkko&uskonnollinen henkilö&adventisti&protestantti&ystävä&kveekari&katolilainen&vanhakatolinen&koptilainen&apostoli&opetuslapsi&apostolinen isä&arianisti&uudestisyntynyt kristitty&ehtoollisvieras&melkiitti&nasaretilainen&shaker&shegetz&traktarianisti&Timoteus&Titus;uskonto
Christmas.svg;joulu&joulupäivä&25. joulukuuta&joulunaika;neljännesvuosittainen palkkapäivä&juhlapäivä&katolinen pyhäpäivä&yleinen vapaapäivä&aika&kuusijuhla&jouluvalmistelu&ilojuhla&jeesuksen syntymäpäivä&joulun ihme&vapahtajan syntymäpäivä&jumalan pojan syntymäpäivä;neljännesvuosittainen palkkapäivä&juhlapäivä&katolinen pyhäpäivä&virallinen vapaapäivä&kansallinen vapaapäivä&julkinen vapaapäivä&yleinen vapaapäivä&aika;uskonto & juhlapäivä & juhlapäivä & uskonnot
Christmas_bauble.svg;kuusenkoriste;;;juhlat & välineet
Christmas_bell.svg;joulukello;;;juhlat & välineet
Christmas_cake.svg;joulukakku;hedelmäkakku;hedelmäkakku;leivonta & leipominen & viljatuotteet & vilja & ruoka
Christmas_Day.svg;joulupäivä&joulu&25. joulukuuta;neljännesvuosittainen palkkapäivä&juhlapäivä&katolinen pyhäpäivä&yleinen vapaapäivä;neljännesvuosittainen palkkapäivä&juhlapäivä&katolinen pyhäpäivä&virallinen vapaapäivä&kansallinen vapaapäivä&julkinen vapaapäivä&yleinen vapaapäivä;uskonto & juhlapäivä & juhlapäivä & uskonnot
Christmas_decorations.svg;joulukoristeet;jouluvalmistelu;joulu;juhlat & välineet
Christmas_Eve.svg;jouluaatto&24. joulukuuta;vapaapäivä&nochebuena&Štědrý den&julafton;lomapäivä&yleinen vapaapäivä&vapaapäivä;uskonto & juhlapäivä & juhlapäivä & uskonnot
Christmas_lights.svg;jouluvalot;;;juhlat & välineet
Christmas_pudding.svg;jouluvanukas&luumuvanukas;vanukas;vanukas;leivonta & leipominen & viljatuotteet & vilja & ruoka
Christmas_sock.svg;joulusukka;sukka;sukka;juhlat & välineet
Christmas_tree.svg;joulukuusi&joulupuu&purppurapihta&Abies amabilis&saksanjalokuusi&saksankuusi&saksanpihta&Abies alba;koriste-esine&hopeakuusi&abies amabilis&abies alba;koriste&somiste&koristus&ornamentti&koriste-esine&hopeakuusi;juhlat & välineet
Christmas_wreath.svg;jouluseppele;;;juhlat & välineet
church.svg;kirkko;rakennus&luostarikirkko&herranhuone&pyhäkkö&temppeli&katedraali&kirkkokunta&kristikunta&kirko&ecclesiastic&igreja&iglesia&kirkkovene;luostarikirkko&basilika&basilikakirkko&rakennus&katedraali&tuomiokirkko&tsasouna&kokoushuone&moskeija&pyhäkkö&pyhättö&synagoga&temppeli&tabernaakkeli&uskonto&usko&järjestäytynyt uskonto&Armenian kirkko&Armenian apostolinen kirkko&Armenian ortodoksinen kirkko&Katolinen kirkko&nestoriolainen kirkko&koptilainen kirkko&protestantismi&protestanttisuus&moonilaisuus&yhdistymiskirkko&kristitty&ortodoksikirkko;julkiset & rakennukset
cigarette.svg;tupakka&savuke&syöpäkääryle&kessu&sätkä&rööki&spaddu&tupakkakasvi;sikari&kubebapippuria sisältävä savuke&katuhuume&täyteaine&suodatinsavuke&jointti&piipputupakkasekoitus&nenänuuska&ruoho&tupakoiden suku&nicotiana alata&nicotiana tabacum&nicotiana rustica&nicotiana glauca&nikotiini&sätkätupakka&turkkilainen tupakka&kasvituote&paperossi&mälli&nuuska&mahorkka&kespertti&röllö&pätsä&röpö&tupakki&körssi&röllykkä;sikari&kubebapippuria sisältävä savuke&huumausaine&katuhuume&täyteaine&filtterisavuke&suodatinsavuke&marihuanasavuke&kannabissavuke&jointti&piipputupakkasekoitus&nuuska&nenänuuska&ruohokasvi&ruohovartinen kasvi&ruoho&tupakat&tupakoiden suku&koristetupakka&valkotupakka&Jasmine tobacco&Nicotiana alata&virginiantupakka&Nicotiana tabacum&palturitupakka&Nicotiana rustica&sinitupakka&Salvadora persica&hammasharjapuu&Nicotiana glauca&nikotiini&shag&sätkätupakka&turkkilainen tupakka&kasvituote;vapaa-aika
circle.svg;ympyrä&kehä;ydinmuisti&lautanen&pyörivä koneisto&oskuloiva ympyrä&pyöreä muoto&pieni ympyrä&ekvaattori&ovaali&episykli&piiri&kela&pyöristyä&pylpyrä&pyörylä;ydin&ydinmuisti&pyöreä levy&kiekko&lautanen&pyörivä koneisto&käyrän kaarevuusympyrä&oskuloiva ympyrä&pyöreä muoto&pieni ympyrä&ekvaattori&ellipsi&soikio&ovaali&episykli;kuvaileva & muoto
circle_time.svg;ryhmätyö&yhteistyö;projekti;yhteistyö;työ & koulu & opiskelu
circuit.svg;piiri&mikropiiristö&kantomatka&kantama&toimintasäde&etäisyys&näkyvyysalue&alue&ulottuvuus&rajat&vaikutusala&ymmärrys&ala&veljeskunta&oppilaskunta&ryhmä&seurapiiri&joukkio&joukko&poppoo&porukka&väki&vaalialue&maa&vaikutuspiiri&areena;muoto&elektroninen laite&pallokenttä&kontrasti&internationalismi&vapaus&soveltamisala&vaihtelunala&kirjo&väripaletti&kehitysmahdollisuus&näkökenttä&tietokanta&sosiaaliryhmä&kansankerros&kimppakyyti&ryhmittymä&kohortti&salaliitto&hienosto&hevoshullut&suihkuseurapiiri&kaupunginosa&poliisipiiri&äänestysalue&arkkiherttuakunta&paronin arvo&herttuakunta&tilukset&emiraatti&imperiumi&lääni&suuriruhtinaskunta&varakreivin hallintoalue&khanaatti&kuningaskunta&ruhtinaskunta&šeikkikunta&yliherruus&vyöhyke&veljes&veljeskunnan jäsen&ympäristö&naisten työt&rintama&valtakunta&huoma&politiikan areena&vastuu&aihepiiri&etupiiri&kaveripiiri&kenttäväki&kokousväki&kulttuuripiiri&lähipiiri&painopistealue&puolueväki&talkooväki&tuttavapiiri&ylioppilaskunta&ystäväpiiri&kehä&rengas&ympyrä&ympärysviiva&vaikutusalue&kela&verkosto&rise&rinki&sfääri;muoto&elektroninen laite&laajuus&lähialue&pallokenttä&kontrasti&kansainvälisyys&internationalismi&toimintavapaus&vapaus&näköpiiri&näkymä&soveltamisala&asteikko&kirjo&vaihtelunala&spektri&paletti&väripaletti&kyky&taipumus&kehitysmahdollisuus&havaintopiiri&näkökenttä&tiedot&tietämys&tietämyskanta&tietokanta&sosiaaliryhmä&luokka&kerros&yhteiskuntaluokka&sosioekonominen luokka&kansankerros&kimppakyyti&klikki&ryhmäkunta&kuppikunta&sisäpiiri&kopla&ryhmittymä&kohortti&salaliitto&hienosto&hevosrakkaat&hevoshullut&suihkuseurapiiri&partio&kaupunginosa&poliisipiiri&äänestysalue&arkkiherttuakunta&paronin arvo&herttuakunta&tilukset&emiirikunta&emiraatti&keisarikunta&imperiumi&lääni&suuriruhtinaskunta&varakreivin hallintoalue&khanaatti&valtakunta&kuningaskunta&ruhtinaskunta&šeikkikunta&yliherruus&vyöhyke&veli&veljes&veljeskunnan jäsen&ympäristö&naisten työt&rintama&maailma&huoma&poliittinen areena&politiikan areena&vastuualue&vastuu&aihepiiri&etupiiri&kaveripiiri&kenttäväki&kokousväki&kulttuuripiiri&lähipiiri&painopistealue&puolueväki&talkooväki&tuttavapiiri&ylioppilaskunta&ystäväpiiri;tekniikka
clamp.svg;puristin&kiristin&puserrin;penkkipuristin&c-puristin&juustopaino&omenapuristamo&ruuvipuristin&valkosipulipuristin&kannatinlaite&hydraulinen puristin&keittiöväline&kone&putkenkiinnitin&prässi&muottipuristin&sitruspuristin&ruuvipihti&rypäleenpuserrin&brida&klammer&puristintyökalu;penkkipuristin&C-puristin&juustopaino&omenapuristamo&ruuvipuristin&valkosipulipuristin&kannatinlaite&hydraulinen puristin&keittiöväline&kone&putken kiinnitin&putkenkiinnitin&prässi&muottipuristin&sitruunanpuristin&mehupuristin&sitruspuristin&ruuvipihti&rypäleenpuserrin;työkalut & työpaja & käsityö & käsityöt
class_room.svg;luokkahuone&koululuokka&luokka;luentohuone&huone;luentohuone&huone;koulu & rakennukset
claw.svg;kynsi&sarvimainen rakenne&sormenkynsi&sormen kynsi&valkosipulinkynsi;kavio&räpylä&karhunkäpälä&ruumiinrakenne&peukalonkynsi&varpaankynsi&kynsilaukka&vekseli&kīņtš&nagel&tack&neilikka;kavio&koipi&linnun jalka&räpylä&karhunkäpälä&rakenne&anatominen rakenne&ruumiinrakenne&peukalonkynsi&varpaankynsi&valkosipuli&kynsilaukka;eläimet
clay.svg;savi&muta&rapa&kura;tiiliskivi&savitavara&tiilisavi&savenvalajan savi&järjestysluku 14&terra alba&punasavi&valkaisusavi&savikakku&kaoliini&bentoniitti&tulenkestävä savi&kissanhiekka&valusavi&rappaus&maa&kattotiili&lieju;tiili&tiiliskivi&keramiikka&saviastiat&savitavara&tiilisavi&savenvalajan savi&pii&Si&järjestysluku 14&kaoliini&posliinisavi&terra alba&punasavi&valkaisumaa&valkaisusavi&savikakku&piippusavi&bentoniitti&tulenkestävä savi&kissanhiekka&valusavi&rappaus&sora&irtomaa&maa&vesivelli&lieju&loka&kattotiili;tiede
clean_dishes.svg;tiskata;putsata&lavi&洗&pestä&mýt&car wash&peseytyä&pyykätä&huuhtoa&huuhtoutua&pesu&pyykki&(aaltojen) kohina&vanavesi&peräaalto&jättöpyörre&-vesi (e.g. suuvesi)&huuhtouma&matalikko;puhdistaa&putsata;tila & kuvaileva
clean_hands.svg;pestä kädet;;;hoitotoimet & terveys
clean_room.svg;puhdas huone;;;tila & kuvaileva
clean_shoes_,_to.svg;puhdistaa kengät;;;rakennukset & kotityöt & työ & työt
clean_window_,_to.svg;pestä ikkuna;;;rakennukset & kotityöt & työ & työt
cleaner_1a.svg;siivooja&siistijä&taloudenhoitaja&talonmies&vahtimestari;nokisutari&pehtori&työntekijä&hankaaja&kadunlakaisija&ikkunanpesijä;nuohooja&nokikolari&nokisutari&vartija&hoitaja&valvoja&pehtori&työläinen&metsätyömies&tukkijätkä&työntekijä&hankaaja&puhtaanapitolaitoksen työntekijä&kadunlakaisija&ikkunanpesijä;ihmiset & ammatit
cleaner_1b.svg;siivooja&siistijä&taloudenhoitaja&talonmies&vahtimestari;nokisutari&pehtori&työntekijä&hankaaja&kadunlakaisija&ikkunanpesijä;nuohooja&nokikolari&nokisutari&vartija&hoitaja&valvoja&pehtori&työläinen&metsätyömies&tukkijätkä&työntekijä&hankaaja&puhtaanapitolaitoksen työntekijä&kadunlakaisija&ikkunanpesijä;ihmiset & ammatit
cleaner_2a.svg;siivooja&siistijä&taloudenhoitaja&talonmies&vahtimestari;nokisutari&pehtori&työntekijä&hankaaja&kadunlakaisija&ikkunanpesijä;nuohooja&nokikolari&nokisutari&vartija&hoitaja&valvoja&pehtori&työläinen&metsätyömies&tukkijätkä&työntekijä&hankaaja&puhtaanapitolaitoksen työntekijä&kadunlakaisija&ikkunanpesijä;ihmiset & ammatit
cleaner_2b.svg;siivooja&siistijä&taloudenhoitaja&talonmies&vahtimestari;nokisutari&pehtori&työntekijä&hankaaja&kadunlakaisija&ikkunanpesijä;nuohooja&nokikolari&nokisutari&vartija&hoitaja&valvoja&pehtori&työläinen&metsätyömies&tukkijätkä&työntekijä&hankaaja&puhtaanapitolaitoksen työntekijä&kadunlakaisija&ikkunanpesijä;ihmiset & ammatit
cleaner_spray.svg;pesuaine&puhdistusaine;puhdistin&astianpesuaine&pyykinpesuaine&nestemäinen pesuaine&ioniton puhdistusaine&kationinen pesuaine&sls&tensidi;tahranpoistoaine&puhdistin&astianpesuaine&pyykinpesuaine&nestemäinen pesuaine&anioniaktiivinen puhdistusaine&anioniaktiivinen aine&ioniton puhdistusaine&kationinen puhdistusaine&kationinen pesuaine&natriumlauryylisulfaatti&natriumdodekyylisulfaatti&SDS&SLS&pinta-aktiivinen aine&surfaktantti&tensidi;rakennukset & tarvikkeet
cleaning_box.svg;siivousvälineet;;;rakennukset & tarvikkeet
climbing_rock.svg;vuorikiipeily&vuoristokiipeily&alpinismi&alppikiipeily&kalliokiipeily;kohoaminen&yleisurheilu;kiipeäminen&kohoaminen&urheilu&yleisurheilu;urheilu & urheiluvälineet & välineet & varusteet & urheiluvarusteet
climbing_wall.svg;kiipeilyseinä;;;urheilu & urheiluvälineet & välineet & varusteet & urheiluvarusteet
clingfilm.svg;talouskelmu&Saran Wrap;muovikelmu&saran wrap&muovi;muovikelmu&muovi;ruoka & ruokailu & ruokailuvälineet
clip_nails_,_to.svg;leikata kynnet;;;hoitotoimet & terveys
clipboard.svg;kirjoituslevy;kirjoitusalusta&työtaso;kirjoitusalusta&työtaso;taide
clock.svg;kello&kulkunen&tiuku&kellot&ajastin&rannekello&kellokukka&kellonmuoto&laivakello;akustinen laite&herätyslaite&analogiakello&analoginen kello&atomikello&big ben&tornikellopeli&kronometri&kirkonkello&lehmänkello&käkikello&kuolinkello&digitaalikello&ruokakello&sähkösoittokello&sähkökello&palokello&käsikello&vapauden kello&mittalaite&heilurikello&lyömäsoitin&taskukello&tiimalasi&koulun kello&lammaskello&kaupan kello&merkinantolaite&nupista vedettävä rannekello&aurinkokello&järjestelmäkello&kellokorttilaite&hälytyskello&tornikello&seinäkello&vesikello&suku kellot&campanula rotundifolia&campanula rapunculoides&campanula medium&campanula divaricata&campanula americana&campanula aparinoides&campanula glomerata&campanula persicifolia&campanula pyramidalis&campanula rapunculus&campanula trachelium&campanula carpatica&ruoho&käyrän muotoinen&aikayksikkö&katsella&ajannäyttäjä&pocket watch&klo&keep an eye on&babysit&watcher&tarkkailla&peilailla&aikarauta;akustinen laite&herätyskello&herätin&herätyslaite&analogiakello&analoginen kello&atomikello&Big Ben&tornikellopeli&kronometri&kirkonkello&lehmänkello&käkikello&kuolinkello&digitaalikello&ruokakello&sähkösoittokello&sähkökello&palokello&käsikello&umpikuorinen kello&vapauden kello&mittauslaite&mittausjärjestelmä&mittaamisväline&mittalaite&heilurikello&lyömäsoitin&taskukello&tiimalasi&koulun kello&lammaskello&kaupan kello&merkinantolaite&aisakello&nupista vedettävä rannekello&aurinkokello&järjestelmäkello&kellokorttilaite&hätäkello&hälytyskello&tornikello&seinäkello&vesimittari&klepsydra&vesikello&suku Kellot&kissankello&sinikello&Campanula rotundifolia&vuohenkello&Campanula rapunculoides&maariankello&Campanula medium&kellokasvi&Campanula divaricata&amerikankello&Campanula americana&Campanula aparinoides&peurankello&Campanula glomerata&kurjenkello&Campanula persicifolia&ritarinkello&Campanula pyramidalis&kauriinkello&Campanula rapunculus&kurkkuyrtti&varsankello&Campanula trachelium&karpaattienkello&Campanula carpatica&ruohokasvi&ruohovartinen kasvi&ruoho&käyrä&käyrän muotoinen&aikayksikkö;tekniikka
clock_radio.svg;kelloradio;radio;radiovastaanotin&radio;tekniikka
close_to.svg;lähellä&tiivis&läheinen&lähellä oleva&käsillä oleva&käsillä&lähestyvä&uhkaava&välitön&odotettavissa oleva&tuleva&saatavilla oleva&saatavilla;viereinen&lämmin&rinnakkainen&ympäröivä&tiukasti painautunut&lähekkäinen&tiukasti hankavastaiseen&tiukasti kiinni&saartava&rinnastettu&käpertynyt&lähin&suomumainen&kävelyetäisyydellä&välimatka&liki&likellä&lähettyvillä&lähiseuduilla&lähistöllä&lähitienoilla&sinne päin&melkein&lähestyä&vieressä;viereinen&lämmin&vierekkäinen&rinnakkainen&ympäristön&ympäröivä&liimautunut&tiukasti jhk painautunut&tiukasti painautunut&lähekkäinen&tiukasti hankavastaiseen&tiukasti kiinni&katkeamaton&sisäänsä sulkeva&koukkaava&saartava&rinnakkain asetettu&rinnastettu&painautunut&käpertynyt&lähin&suomumainen&kävelyetäisyydellä oleva&kävelyetäisyydellä&välimatka;kuvaileva & sijainti
